Geneid,WT1-BL_S30_L001,WT1-BL_S30_L002,WT2-BL_S31_L001,WT2-BL_S31_L002,WT3-BL_S32_L001,WT3-BL_S32_L002,atpA1-BL_S33_L001,atpA1-BL_S33_L002,atpA2-BL_S34_L001,atpA2-BL_S34_L002,atpA3-BL_S35_L001,atpA3-BL_S35_L002
b2012,4.299546913730389,4.513752820272672,4.390622210570539,4.228128805098493,4.140222437283864,3.9015437191983793,4.321403401378664,4.261332382359695,4.368367731905557,4.308502608444799,3.7103815037389647,4.349832918207232
b2013,2.295542306685863,1.9859162915708837,2.0256969486591294,1.9916954504741546,3.519515330716668,3.5657605702333615,2.5441282442928865,1.921332322433375,2.6748135652413305,2.529105397308317,2.45198618510626,2.3714887625190135
b2014,8.360280448469732,8.296911325507391,8.116804836803384,8.114754123571608,9.311914293434892,9.323933181707945,7.418180198488198,7.405693027729564,6.311243332960685,6.348973253481511,6.618468596422207,6.585324047451912
b4678,8.222311146563719,8.277929681085086,8.452255325528041,8.343678185086082,9.2023001149366,9.13852968745332,6.683196379637843,6.949043095507045,5.473034851599619,5.734290906569421,5.65430310373142,5.903445670551476
b2015,3.8565768766931865,4.059124016239743,4.359318725577281,4.453884334931566,3.1028282434211496,3.274001008533097,4.272230050193672,4.3208762293036616,4.5677656294447315,4.753274924942854,4.472735607833316,4.3772662441060906
b2016,6.9440951110906415,6.936447974704675,7.00209039384233,7.034227843698101,6.019264304291721,6.1042853214189785,7.569036876279816,7.598077679684315,7.870363418271085,7.812049328892656,7.819469801665615,7.844164096230324
b4539,4.842765712699061,4.915343827447042,5.003672668776194,4.61827313442373,4.671387501669291,4.4901030439035985,4.9843768000365305,5.094798495301021,5.3146250133865385,5.3850525853827635,5.588552345174567,5.366941390976585
b2017,5.73949604495126,5.68670702538267,5.625005771231163,5.6053206916536436,5.359441095844827,5.3393103117285925,5.872267601822691,5.6918215445012414,6.026833192844816,5.872777456776697,5.8493911757958665,6.124342733250679
b2018,5.9233664567702045,5.819133588394024,6.093096922831876,6.025695776438072,4.994945278155258,4.8433175705773,7.070688794921868,7.130826192039447,6.580640438695695,6.957553591523601,7.221955466402274,6.800337705618264
b2019,7.5031610123712325,7.501101518449502,7.443275507349424,7.465518201077105,6.90949164537085,6.9224948681961695,9.28712177731383,9.263187544484179,9.282781980486599,9.283199890946488,9.374809215734501,9.33259012667032
